PORTFOLIO_ID,BENCHMARK_ID,SECURITY_ID,PAR,CURRENT_PRICE,MARKET_VALUE
1,1,1,88721377,416.07,36914303328
1,1,2,173317472,194.35,33684250683
1,1,3,29492440,1164.37,34340112363
1,1,4,58910446,175.13,10316986408
1,1,5,70363968,173.79,12228553999
1,1,6,109144753,179.34,19574020003
1,1,7,26269128,476.99,12530111365
1,1,8,21718044,409.53,8894190559
1,1,9,9518433,832.59,7924952131
1,1,10,5255594,1330.82,6994249607
1,1,11,34508404,199.16,6872693741
1,1,12,18892480,272.42,5146689402
1,1,13,33097718,174.77,5784488175
1,1,14,51089010,66.6,3402528066
1,1,15,53890839,112.67,6071880830
1,1,16,11040615,505.49,5580920476
1,1,17,9855196,444.77,4383295525
1,1,18,28095711,167.01,4692264694
1,1,19,5300259,827.39,4385381294
1,1,20,28737644,147.8,4247423783
1,1,21,19045298,120.07,2286768931
1,1,22,30250051,128.71,3893484064
1,1,23,11888688,328.26,3902580723
1,1,24,82191106,39.68,3261343086
1,1,25,21075317,162.14,3417151898
1,1,26,20718598,156.13,3234794706
1,1,27,46451224,63.94,2970091263
1,1,28,5169528,631.62,3265177275
1,1,29,19287719,159.99,3085842163
1,1,30,16413116,173.89,2854076741
1,1,31,13287791,204.37,2715625847
1,1,32,11562976,234.86,2715680543
1,1,33,4611645,569.67,2627115807
1,1,34,6238147,177.91,1109828733
1,1,35,5788673,431.14,2495728477
1,1,36,42989338,58.7,2523474141
1,1,37,5399105,448.37,2420796709
1,1,38,7852132,263.33,2067701920
1,1,39,48538849,47.42,2301712220
1,1,40,8658942,262.72,2274877242
1,1,41,21847171,103.33,2257468179
1,1,42,7492053,288.06,2158160787
1,1,43,20718705,103.43,2142935658
1,1,44,12993016,161.38,2096812922
1,1,45,10842112,193.3,2095780250
1,1,46,9939394,212.22,2109338195
1,1,47,50187407,41.56,2085788635
1,1,48,6830242,237.25,1620474915
1,1,49,67404711,29.49,1987764927
1,1,50,6389297,307.37,1963878219
1,1,51,18532196,103.79,1923456623
1,1,52,6085316,327.57,1993366962
1,1,53,3346206,572.06,1914230604
1,1,54,24492867,77.15,1889624689
1,1,55,14964940,96.58,1445313905
1,1,56,47331648,39.56,1872439995
1,1,57,10930121,165.81,1812323363
1,1,58,3892961,455.3,1772465143
1,1,59,4201536,406.61,1708386553
1,1,60,8592982,119.08,1023252297
1,1,61,15849313,107.9,1710140873
1,1,62,14540157,94.74,1377534474
1,1,63,13186428,126.64,1669929242
1,1,64,7277228,227.62,1656442637
1,1,65,2448957,672,1645699104
1,1,66,3838260,431.84,1657514198
1,1,67,7869928,207.23,1630885179
1,1,68,24566722,64.55,1585781905
1,1,69,17768846,71.99,1279179224
1,1,70,85354616,18.35,1566257204
1,1,71,14072425,112.27,1579911155
1,1,72,4037170,342,1380712140
1,1,73,416710,3801.36,1584064726
1,1,74,50504683,30.03,1516655630
1,1,75,4768231,316.17,1507571595
1,1,76,2804037,540.43,1515385716
1,1,77,6983413,211.97,1480274054
1,1,78,6866948,216.53,1486900250
1,1,79,3076199,474.95,1461040715
1,1,80,1566142,922.73,1445126208
1,1,81,13607996,105.87,1440678537
1,1,82,1669369,785.29,1310938782
1,1,83,22733075,61.03,1387399567
1,1,84,8633842,135.63,1171007990
1,1,85,6850162,188.62,1292077556
1,1,86,5920404,230.63,1365422775
1,1,87,2569202,468.89,1204673126
1,1,88,17484562,75.92,1327427947
1,1,89,1262094,993.29,1253625349
1,1,90,15883246,83.27,1322597894
1,1,91,4841043,264.81,1281956597
1,1,92,5886226,208.49,1227219259
1,1,93,3110359,369.37,1148873304
1,1,94,1614672,750.56,1211908216
1,1,95,11029981,108.77,1199731033
1,1,96,4910039,245.67,1206249281
1,1,97,3493453,337.06,1177503268
1,1,98,3766253,290.09,1092552333
1,1,99,13524533,82.79,1119696087
1,1,100,5565403,200.41,1115362415
1,1,101,1878601,147.08,276304635.1
1,1,102,3000386,293.18,879653167.5
1,1,103,16084020,68.09,1095160922
1,1,104,13022038,80.71,1051008687
1,1,105,7164800,147.99,1060318752
1,1,106,2364775,332,785105300
1,1,107,1815732,561.73,1019951136
1,1,108,24290565,41.75,1014131089
1,1,109,327496,3079.04,1008373284
1,1,110,4375456,203.63,890974105.3
1,1,111,2699600,297.32,802645072
1,1,112,9200538,104.6,962376274.8
1,1,113,21111963,46.83,988673227.3
1,1,114,14874874,64.16,954371915.8
1,1,115,5480755,171.88,942032169.4
1,1,116,3247448,287.13,932439744.2
1,1,117,7125123,130.05,926622246.2
1,1,118,2811444,305.84,859852033
1,1,119,6833228,134.76,920845805.3
1,1,120,9829178,93.81,922075188.2
1,1,121,15032643,60.26,905867067.2
1,1,122,660517,1340.83,885641009.1
1,1,123,1569702,573.73,900585128.5
1,1,124,4395498,406.5,1786769937
1,1,125,4299240,203.78,876099127.2
1,1,126,1118655,764.68,855413105.4
1,1,127,2722888,319.53,870044402.6
1,1,128,3246546,240.67,781346225.8
1,1,129,17123580,49.7,851041926
1,1,130,5509463,150.55,829449654.7
1,1,131,3029584,682.48,2067630488
1,1,132,3458267,238.5,824796679.5
1,1,133,6957982,119.8,833566243.6
1,1,134,3077074,266.3,819424806.2
1,1,135,2655274,235.52,625370132.5
1,1,136,5190168,448.39,2327219430
1,1,137,12796947,63.33,810430653.5
1,1,138,1533801,512.45,785996322.5
1,1,139,2390256,230.51,550977910.6
1,1,140,23590609,32.77,773064256.9
1,1,141,3812698,203.14,774511471.7
1,1,142,5136366,104.49,536698883.3
1,1,143,1689115,43.41,73324482.15
1,1,144,706238,284.5,200924711
1,1,145,770500229.8,175.26,1.35E+11
1,1,146,4755141,369.22,1755693160
1,1,147,16999849,154.16,2620696722
1,1,148,1981233,106.87,211734370.7
1,1,149,6806127,38.96,265166707.9
1,1,150,2944784,245.95,724269624.8
1,1,151,18587056,270.3,5024081237
1,1,152,1985690,187.36,372038878.4
1,1,153,6611116,543.4,3592480434
1,1,154,1031379,136.99,141288609.2
1,1,155,1269214,970.3,1231518344
1,1,156,2699446,152.47,411584531.6
1,1,157,6244701,255.22,1593772589
1,1,158,206381,145.34,29995414.54
1,1,159,2754606,105.94,291822959.6
1,1,160,13789967,61.27,844911278.1
1,1,161,8373521,52.19,437014061
1,1,162,2572211,98.61,253645726.7
1,1,163,2934909,59.89,175771700
1,1,164,8381063,87.41,732588716.8
1,1,165,4064302,45.26,183950308.5
1,1,166,10014742,134.48,1346782504
1,1,167,7240355,155.38,1125006360
1,1,168,6285399,52.99,333063293
1,1,169,6600560,76.65,505932924
1,1,170,4546942,94,427412548
1,1,171,3012345,41.32,124470095.4
1,1,172,6458910,200.44,1294623920
1,1,173,14535244,221.71,3222608947
1,1,174,4034012,88.04,355154416.5
1,1,175,1891031,70.31,132958389.6
1,1,176,3894270,36.65,142724995.5
1,1,177,1465905,278.97,408943517.9
1,1,178,15884238,77.18,1225945489
1,1,179,46600127,145.12,6762610430
1,1,180,3955466,209.64,829223892.2
1,1,181,527208,18.32,9658450.56
1,1,182,7516560,71.08,534277084.8
1,1,183,8127503,2790.98,22683698323
1,1,184,6277745,12.03,75521272.35
1,1,185,4033799,90.38,364574753.6
1,1,186,2551854,54.43,138897413.2
1,1,187,7332752,143.87,1054963030
1,1,188,2726509,140.94,384274178.5
1,1,189,2819345,34.82,98169592.9
1,1,190,3855467,40.53,156262077.5
1,1,191,7079775,116.71,826280540.3
1,1,192,13776080,137.39,1892695631
1,1,193,10396742,79.04,821758487.7
1,1,194,4868625,250.34,1218811583
1,1,195,802389,148.04,118785667.6
1,1,196,2753811,230.67,635221583.4
1,1,197,6964249,148.19,1032032059
1,1,198,3701006,212,784613272
1,1,199,2951370,771.61,2277306606
1,1,200,4612305,103.62,477927044.1
1,1,201,4428825,58.64,259706298
1,1,202,9990919,163.04,1628919434
1,1,203,9070778,53.28,483291051.8
1,1,204,1465879,123.54,181094691.7
1,1,205,5182133,58.87,305072169.7
1,1,206,25485357,121.57,3098254850
1,1,207,3493133,19.66,68674994.78
1,1,208,1736562,887.12,1540538881
1,1,209,3247800,360.87,1172033586
1,1,210,944841,157.71,149010874.1
1,1,211,1278005,35.63,45535318.15
1,1,212,2262113,163.42,369674506.5
1,1,213,3565695,226.69,808307399.6
1,1,214,1196227,631.2,755058482.4
1,1,215,3125921,117.98,368796159.6
1,1,216,9915231,76.07,754251622.2
1,1,217,4309389,424.55,1829551100
1,1,218,3301212,491.06,1621093165
1,1,219,4008450,200.07,801970591.5
1,1,220,6195752,280.6,1738528011
1,1,221,992717,99.21,98487453.57
1,1,222,22860612,155.16,3547052558
1,1,223,2187216,141.54,309578552.6
1,1,224,1928817,217.18,418900476.1
1,1,225,7881578,270.02,2128183692
1,1,226,3839305,493.19,1893506833
1,1,227,6783618,55.15,374116532.7
1,1,228,4835296,306.78,1483372107
1,1,229,3352062,161.18,540285353.2
1,1,230,8818610,166.87,1471561451
1,1,231,601335,68.14,40974966.9
1,1,232,2441294,130.85,319443319.9
1,1,233,6377233,100.86,643207720.4
1,1,234,738577,52.04,38435547.08
1,1,235,1732835,70.14,121541046.9
1,1,236,23087634,53.7,1239805946
1,1,237,2804764,172.14,482812075
1,1,238,7608644,37.36,284258939.8
1,1,239,11893225,273.11,3248158680
1,1,240,1626718,74.34,120930216.1
1,1,241,8411905,258.25,2172374466
1,1,242,5948731,64.34,382741352.5
1,1,243,6827087,19.15,130738716.1
1,1,244,2138726,136.5,291936099
1,1,245,12440889,72.7,904452630.3
1,1,246,5944135,87.96,522846114.6
1,1,247,6367296,77.52,493592785.9
1,1,248,1374451,726.56,998621118.6
1,1,249,5126998,35.35,181239379.3
1,1,250,1180478,59.43,70155807.54
1,1,251,5133663,555.8,2853289895
1,1,252,7808624,234.13,1828233137
1,1,253,1729035,189.22,327168002.7
1,1,254,571107,80.34,45882736.38
1,1,255,4126304,82.29,339553556.2
1,1,256,5061845,137.1,693978949.5
1,1,257,2921201,428.12,1250624572
